Date,usd2usd,usd2eu,usd2can,usd2uk,usd2inr,usd2jp
2019-01-01,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-02,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-03,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-04,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-05,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-06,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-07,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-08,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-09,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-10,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-11,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-12,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-13,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-14,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-15,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-16,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-17,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-18,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-19,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-20,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-21,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-22,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-23,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-24,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-25,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-26,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-27,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-28,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-29,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-30,1,1.091,1.3551,0.8085,82.2064,133.177
2019-01-31,1,1.091,1.3551,0.8085,82.2064,133.177
2019-02-01,1,1.0926,1.354,0.8099,82.0848,132.6658
2019-02-02,1,1.0876,1.3588,0.8112,82.3255,132.3684
2019-02-03,1,1.0899,1.3655,0.8112,82.1548,130.6983
2019-02-04,1,1.0909,1.3709,0.8152,82.305,131.4768
2019-02-05,1,1.0882,1.3789,0.8184,82.4244,130.1536
2019-02-06,1,1.0913,1.3673,0.8137,82.2511,131.3264
2019-02-07,1,1.0828,1.3706,0.8153,82.5962,132.7121
2019-02-08,1,1.0808,1.3666,0.8169,82.6195,132.3589
2019-02-09,1,1.0795,1.3688,0.817,82.5697,131.3521
2019-02-10,1,1.0776,1.3729,0.8236,82.6386,132.3261
2019-02-11,1,1.0789,1.3747,0.8289,82.803,132.3077
2019-02-12,1,1.0845,1.3749,0.827,82.7685,132.2495
2019-02-13,1,1.0974,1.3681,0.8201,82.361,134.1995
2019-02-14,1,1.0981,1.3773,0.8254,82.2399,132.5985
2019-02-15,1,1.0776,1.3832,0.8337,82.125,136.69
2019-02-16,1,1.0649,1.3809,0.8415,82.0746,136.2706
2019-02-17,1,1.0618,1.375,0.8447,81.9545,137.2214
2019-02-18,1,1.0709,1.3645,0.8342,81.8214,136.1556
2019-02-19,1,1.0703,1.3614,0.8325,81.8566,135.8632
2019-02-20,1,1.066,1.3601,0.834,81.8827,136.1752
2019-02-21,1,1.0618,1.3624,0.8372,82.5427,136.794
2019-02-22,1,1.0687,1.3601,0.829,82.4455,135.5485
2019-02-23,1,1.0676,1.3571,0.8259,82.6071,136.7643
2019-02-24,1,1.0629,1.3582,0.8345,82.7516,136.3275
2019-02-25,1,1.0679,1.3599,0.8349,82.7668,135.8089
2019-02-26,1,1.0732,1.3532,0.8303,82.5824,135.0038
2019-02-27,1,1.0784,1.3536,0.8262,82.8993,134.5735
2019-02-28,1,1.0823,1.3457,0.8245,82.7865,134.8087
2019-03-01,1,1.0824,1.346,0.8313,82.73,134.0547
2019-03-02,1,1.0737,1.3521,0.8366,82.8433,134.7576
2019-03-03,1,1.0838,1.3396,0.8307,82.6705,133.9346
2019-03-04,1,1.0824,1.3417,0.8301,82.8425,133.6916
2019-03-05,1,1.0901,1.3321,0.8191,82.8355,132.1126
2019-03-06,1,1.085,1.3347,0.8261,82.7204,132.5566
2019-03-07,1,1.0829,1.3437,0.8265,82.5514,130.8513
2019-03-08,1,1.0891,1.3391,0.8218,82.5276,130.7214
2019-03-09,1,1.0864,1.3404,0.8272,82.5282,131.1691
2019-03-10,1,1.0802,1.3431,0.8349,82.7193,132.0561
2019-03-11,1,1.0815,1.3418,0.8285,82.6765,132.1548
2019-03-12,1,1.0949,1.3364,0.816,81.9164,128.4173
2019-03-13,1,1.0997,1.3289,0.8126,82.1819,128.431
2019-03-14,1,1.0916,1.3316,0.8116,81.7936,129.7687
2019-03-15,1,1.0798,1.345,0.813,81.8204,130.4071
2019-03-16,1,1.0854,1.3328,0.8069,81.5266,130.0468
2019-03-17,1,1.0847,1.3326,0.8089,81.6125,129.8665
2019-03-18,1,1.0893,1.3371,0.8072,81.5287,129.7659
2019-03-19,1,1.0856,1.337,0.8113,81.5644,129.7757
2019-03-20,1,1.0801,1.337,0.8139,81.6205,130.291
2019-03-21,1,1.0857,1.3359,0.8092,81.3651,130.3008
2019-03-22,1,1.0867,1.347,0.8092,81.1168,130.1127
2019-03-23,1,1.0901,1.3503,0.8104,81.411,128.5437
2019-03-24,1,1.0942,1.3382,0.8075,81.3193,128.9695
2019-03-25,1,1.0845,1.3416,0.8171,81.6905,128.6544
2019-03-26,1,1.0784,1.3398,0.8209,81.6496,128.4869
2019-03-27,1,1.0759,1.3403,0.8212,81.4648,128.5556
2019-03-28,1,1.0712,1.3404,0.8233,81.4918,130.5329
2019-03-29,1,1.0783,1.3426,0.8251,81.7084,132.6975
2019-03-30,1,1.0823,1.3412,0.8237,81.7896,132.351
2019-03-31,1,1.0842,1.3369,0.8232,82.3467,132.1522
2019-04-01,1,1.0645,1.3649,0.8426,82.7717,134.5714
2019-04-02,1,1.0774,1.3504,0.833,82.5163,132.9592
2019-04-03,1,1.0768,1.3551,0.831,82.8295,130.8991
2019-04-04,1,1.0674,1.3669,0.835,82.8919,130.8013
2019-04-05,1,1.082,1.3579,0.8296,82.7726,130.6936
2019-04-06,1,1.0832,1.3538,0.8315,82.6655,131.877
2019-04-07,1,1.0822,1.3593,0.8315,82.8524,133.5712
2019-04-08,1,1.0788,1.3497,0.8276,82.7954,133.656
2019-04-09,1,1.0748,1.3539,0.8314,82.9074,133.3584
2019-04-10,1,1.0765,1.3588,0.8288,82.8074,132.6116
2019-04-11,1,1.0793,1.3622,0.8299,82.7955,132.0606
2019-04-12,1,1.0813,1.3609,0.8241,82.8404,131.9011
